country,year,countryCode,continent,stunt_rural,stunt_urban,waste_rural,waste_urban,stunt_all,waste_all,electricity,agLand,agLabor,foodExport,foodImport,gdpPPP,gdpPPPpercap,giniIndex,urbanPop,urbanPopGrowth,clusterPrecipAnom,nationalTempAnom,nationalPrecipAnom
Peru,2007,PER,Americas,0.454633886,0.156534289,0.009651858,0.010081365,0.28230154,0.009900158,81.988131,18.99421875,29.20555,13.69345057,10.43535792,2.44E+11,8548.604027,50,75.803,1.274968853,84.01873056,98.11753949,105.3474281
Peru,2008,PER,Americas,0.454633886,0.156534289,0.009651858,0.010081365,0.28230154,0.009900158,84.678343,19.11992188,28.43563,15.68351755,9.984425179,2.67E+11,9262.151136,47.5,76.052,1.044934386,96.09081659,98.50694592,104.4891242
Peru,2008,PER,Americas,0.454633886,0.156534289,0.009651858,0.010081365,0.28230154,0.009900158,84.678343,19.11992188,28.43563,15.68351755,9.984425179,2.67E+11,9262.151136,47.5,76.052,1.044934386,96.09081659,98.50694592,104.4891242
Peru,2009,PER,Americas,0.361890459,0.151374305,0.015216214,0.012851824,0.230563305,0.013741227,86.42432,19.24484375,27.75239,17.06711381,10.99931996,2.70E+11,9298.078003,47,76.241,0.950928331,100.811006,99.98096287,105.213507
Peru,2010,PER,Americas,0.383811836,0.140108671,0.012734343,0.007252969,0.229861375,0.009271688,88.123061,19.37054688,26.80542,15.54590341,10.32375499,2.92E+11,9996.937323,45.5,76.43,1.003950159,NA,100.6192292,84.30635148
Peru,2011,PER,Americas,0.482669861,0.119912516,0.050669807,0,0.236662307,0.016307566,89.707491,19.50328125,27.05899,16.16537569,10.17600543,3.11E+11,10539.98196,44.7,76.617,1.089748868,NA,99.08389622,103.4405501
Peru,2012,PER,Americas,0,0.082998914,0,0,0.068476433,0,91.099508,19.60957813,26.14643,15.716071,10.00792311,3.30E+11,11084.87394,44.4,76.804,1.161830437,NA,99.46107952,88.76589632
Rwanda,1992,RWA,Africa,0.599147727,0.44,0.049431818,0.046956522,0.591481749,0.049312586,2.3,74.38184029,88.96507,NA,NA,7049425944,920.626153,NA,6.288,15.81869776,NA,98.00302736,93.60679473
Rwanda,2000,RWA,Africa,0.535824783,0.370668071,0.094767321,0.093786266,0.511382013,0.094622127,6.2,74.01702473,89.09539,NA,NA,6886525471,849.1411604,48.5,14.926,7.194394516,NA,100.9731237,90.97114988
Rwanda,2005,RWA,Africa,0.576796898,0.405080082,0.048460379,0.045471457,0.553342891,0.048052136,4.8,76.24645318,85.47916,56.60640834,13.97703258,10157147562,1125.283747,52,16.912,2.655334888,89.77722266,103.4385073,83.93198524
